Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
gtm-himalayan-rock-salt-200g,GTM Himalayan Rock Salt 200g,<p>Natural Himalayan Rock Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-HRS-200,200.0,shopify,100,deny,manual,50.00,,true,true,,,,,,/products/GTM Himalayan Rock Salt 200g.png,1,"",false,,,,kg,,50.00,active
gtm-himalayan-rock-salt-1kg,GTM Himalayan Rock Salt 1Kg,<p>Natural Himalayan Rock Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-HRS-1K,1000.0,shopify,100,deny,manual,120.00,,true,true,,,,,,/products/GTM Himalayan Rock Salt 1Kg.png,1,"",false,,,,kg,,120.00,active
gtm-himalayan-pink-salt-200g,GTM Himalayan Pink Salt 200g,<p>Natural Himalayan Pink Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-HPS-200,200.0,shopify,100,deny,manual,45.00,,true,true,,,,,,/products/GTM Himalayan Pink Salt 200g.png,1,"",false,,,,kg,,45.00,active
gtm-himalayan-pink-salt-1kg,GTM Himalayan Pink Salt 1Kg,<p>Natural Himalayan Pink Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-HPS-1K,1000.0,shopify,100,deny,manual,90.00,,true,true,,,,,,/products/GTM Himalayan Pink Salt 1Kg.png,1,"",false,,,,kg,,90.00,active
gtm-crushed-pink-salt-1kg,GTM Crushed Pink Salt 1Kg,<p>Premium Crushed Pink Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-CPS-1K,1000.0,shopify,100,deny,manual,110.00,,true,true,,,,,,/products/GTM Crushed Pink Salt 1Kg.png,1,"",false,,,,kg,,110.00,active
gtm-black-salt-500g,GTM Black Salt 500g,<p>High quality Black Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-BS-500,500.0,shopify,100,deny,manual,75.00,,true,true,,,,,,/products/GTM Black Salt 500g.png,1,"",false,,,,kg,,75.00,active
gtm-black-salt-500g-1,GTM Black Salt 500g(1),<p>High quality Black Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-BS-500-1,500.0,shopify,100,deny,manual,75.00,,true,true,,,,,,/products/GTM Black Salt 500g(1).png,1,"",false,,,,kg,,75.00,active
gtm-black-salt-200g,GTM Black Salt 200g,<p>High quality Black Salt from GTM.</p>,GTM,Uncategorized,"",Salt,true,Title,Default Title,,,,,,,,GTM-BS-200,200.0,shopify,100,deny,manual,40.00,,true,true,,,,,,/products/GTM Black Salt 200g.png,1,"",false,,,,kg,,40.00,active
gpi-turmeric-powder,GPI Turmeric Powder,<p>Pure Turmeric Powder from GPI.</p>,GPI,Uncategorized,"",Spices,true,Title,Default Title,,,,,,,,GPI-TP,250.0,shopify,100,deny,manual,50.00,,true,true,,,,,,/products/GPI Turmeric Powder.png,1,"",false,,,,kg,,50.00,active
gpi-super-detergent-powder,GPI Super Detergent Powder,<p>Advanced Super Detergent Powder from GPI.</p>,GPI,Uncategorized,"",Detergent,true,Title,Default Title,,,,,,,,GPI-SDP,1000.0,shopify,100,deny,manual,100.00,,true,true,,,,,,/products/GPI Super Detergent Powder.png,1,"",false,,,,kg,,100.00,active
